"""state_val"",""rpt_year"",""revenue"",""income_tax"",""market_cap"",""median_hh_income"""
"""OH"",""2015"",148124000000,5394000000,193023080000,53301"
"""OH"",""2016"",480364000000,6520000000,592160460000,53985"
"""OH"",""2017"",518977000000,10271000000,657617070000,59768"
"""OH"",""2018"",570994000000,6770000000,616433790000,61633"
"""OH"",""2019"",620482000000,9396000000,799314960000,56602"
"""OH"",""2020"",392754000000,4128000000,532488670000,NULL"
"""OK"",""2015"",23064653000,-6314420000,39656078311,47077"
"""OK"",""2016"",27241141000,341403000,61394208869,50943"
"""OK"",""2017"",29529047000,-1507754000,67686010700,55006"
"""OK"",""2018"",30586336000,768646000,62187807125,54434"
"""OK"",""2019"",25387671000,722511000,86073760200,52919"
"""OR"",""2015"",1557000000,64000000,3957870000,60834"
"""OR"",""2016"",34126000000,972000000,93590910000,59135"
"""OR"",""2017"",36054000000,818000000,112361400000,64610"
"""OR"",""2018"",38139000000,2417000000,129093860000,69165"
"""OR"",""2019"",41009000000,842000000,171053170000,62818"
"""OR"",""2020"",37420000000,348000000,225427200000,NULL"
"""PA"",""2015"",182275000000,9597000000,387283453200,60389"
"""PA"",""2016"",349280000000,12252000000,534202352100,60979"
"""PA"",""2017"",366489000000,-9607000000,595373099100,63173"
"""PA"",""2018"",401350000000,5727000000,477061507000,64524"
"""PA"",""2019"",433837000000,7916000000,614737268600,61744"
"""PA"",""2020"",198750000000,-1416000000,79452550000,NULL"
"""RI"",""2015"",175024000000,4239000000,144454750000,55701"
"""RI"",""2016"",200592000000,3998000000,126901660000,61528"
"""RI"",""2017"",209108000000,2743000000,122163660000,66390"
"""RI"",""2018"",218884000000,2676000000,104627500000,62266"
"""RI"",""2019"",281111000000,3027000000,139173440000,67167"
"""TN"",""2015"",89649000000,2612000000,81656380000,47330"
"""TN"",""2016"",170283000000,4710000000,188271810000,51344"
"""TN"",""2017"",188137000000,4058000000,218147060000,55240"
"""TN"",""2018"",201330000000,2323000000,195002820000,56060"
"""TN"",""2019"",212135000000,3275000000,224634930000,53320"
"""TN"",""2020"",109603000000,1356000000,153842360000,NULL"
